Taxon,Specimen,Abb,NBHF,Cl,SBL,Cw,Ch,W2,ITD,GAN,FC,T
Globicephala macrorhynchus,NSMT M26266,Gl me1L,no,32.6,31.1,13.1,5.33,10.15,3.21,NA,15,1.92
Globicephala macrorhynchus,NSMT M26266,Gl me1R,no,33.36,31.81,13.1,5.55,9.85,3.4,NA,14.9,1.93
Monodon monoceros,NSMT M27181,Mo mo1L,no,38.7,33.95,13.68,5.91,10.69,2.32,0.86,12.62,2
Monodon monoceros,NSMT M27181,Mo mo1R,no,38.38,34.9,13.63,6.24,10.84,2.3,0.83,12.22,2
Platanista?gangetica,M30132,Pl ga1L,no,31.36,28.43,11,4.18,9.05,1.7,0.52,6.18,1.95
Platanista?gangetica,M30132,Pl ga1R,no,29.97,29.01,10.43,4.17,9.24,1.79,0.6,6.26,1.95
Globicephala melas,LACM 72448,Gl me,no,38.51,31.55,12.22,7.56,8.55,2.45,0.8,13.39,2.06
Globicephala macrorhynchus,LACM 91755,Gl ma,no,36.49,35.69,13.04,6.5,8.77,2.17,NA,15.89,2.27
Feresa attenuata,LACM 84252,Fe at,no,34.21,29.89,11.06,6.06,7.49,1.33,0.7,12.39,2
Pseudorca crassidens,LACM 84047,Ps cr,no,44.69,41.69,13.71,6.96,10.12,1.92,0.91,15.57,2
Grampus griseus,LACM 95835,Gr gr,no,38.79,37.89,11.87,5.14,8.43,1.18,0.56,5.09,2.26
Steno bredanensis,LACM 72558,St br,no,34.82,33.29,11.59,6.27,8.66,0.99,0.68,4.71,1.899
globicephaline fossil 2,UCMP 219488,Gl ind2,U,34.04,33.27,11.11,4.53,8.17,1.14,0.65,7.38,1.91
Peponocephala electra - L,LACM 54090,Pe el,no,31.29,30.36,10.57,4.26,8.01,1.315,0.695,9.77,2.23
globicephaline fossil 1,UCMP 219487,Gl ind1,U,35.05,33.8,11.47,4.41,8.55,1.03,0.64,8.04,1.84
Orcaella brevirostris - R,USNM 199743,Or brR,no,44.36,38.52,13.16,6.53,10.22,1.66,0.72,12.35,2.25
Orcaella brevirostris - L,USNM 199743,Or brL,no,43.4,39.85,13.11,5.85,10.58,2.01,0.77,13.17,2.21
simocetid,CCNHM 1000,simo,U,33.95,18.78,9.98,4.576666667,6.686666667,0.5725,0.55,6.62,2.393888889
Delphinapterus leucas - L,USNM 504673,De leL504673,mono,49.38,37.26,14.34,5.906666667,10.965,1.25,0.73,NA,1.962646296
Delphinapterus leucas - R,USNM 504673,De leR504673,mono,48.83,36.97,15.2,6.19,10.89,1.446666667,0.623333333,7.74,1.955631481
Delphinapterus leucas - R,USNM 572014,De le572014 ,mono,50.79,44.91,15.385,7.02,11.51,1.643333333,0.616666667,8.15,2.120279631
Monodon monoceros - R,USNM 267958,Mo mo267958,mono,42.17,32.62,14.105,6.16,10.61,1.503333333,0.683333333,10.37,1.945409258
Monodon monoceros  - L,NMNS M27181,Mo mo27181L,mono,46.43,33.18,15.185,6.46,10.885,1.42,0.773333333,11.8,1.890029631
Monodon monoceros - R,NMNS M27181,Mo mo27181R,mono,46.02,33.65,15.2,6.42,10.985,1.52,0.773333333,11.79,1.912181481
Monodon monoceros,LACM 72174a,Mo mo72174a,mono,48.24,36.13,15.405,6.19,10.94,1.386666667,0.79,14.29,2
Monodon monoceros,LACM 72174b,Mo mo72174b,mono,47.7,36.85,14.945,6.275,10.835,1.34,0.78,15.45,1.986455556
Monodon monoceros,LACM 72326a,Mo mo72326a,mono,47.16,37.19,14.36,5.78,10.975,1.443333333,0.77,16.49,1.887591667
Monodon monoceros,LACM 72326b,Mo mo72326b,mono,47.18,37.11,14.6,5.92,10.765,1.16,0.756666667,14.01,1.925025
Monodon monoceros,LACM 72548a,Mo mo72548a,mono,48.035,39.21,14.045,7.045,10.735,1.063333333,0.756666667,15.21,1.962795369
Monodon monoceros,LACM 72548b,Mo mo72548b,mono,48.24,39.54,15.40333333,6.726666667,11.30666667,1.176666667,0.735,13.53,1.945806481
Acrophyseter_,,Acr,U,41.345,40.19,14.715,6.84,10.78,1.026,0.686666667,7.76,2
Orcinus orca,LACM 72453,Or or,no,43.005,38.75,16.79,7.095,10.25,1.366666667,0.743333333,13.94,2
Brachydelphis_ PPI 125,MNMH-F-PPI 125,Br sp,U,25.985,22.93,9.51,3.735,6.645,0.71,0.503333333,5.7,1.84
Pliopontos littoralis_ SAS 953 (figured),SAS953,Pl li,U,25.755,22.885,9.556666667,3.276666667,6.883333333,0.696666667,0.46,3.5,1.72
Cephalorhynchus commersonii - L,NMNH 550154,Ce coL,yes,25.67,21.285,9.17,3.525,6.715,0.69,0.46,3.98,1.85
Cephalorhynchus commersonii - R,NMNH 550155,Ce coR,yes,26.22,20.055,9.095,3.446666667,6.395,0.606666667,0.453333333,3.73,1.88
Kogia sima,USNM 572734,Ko si,yes,27.61,26.945,9.9325,4.223333333,7.045,0.515,0.503333333,4,1.97
kogiine_fossil,LACM 37258,kogi,U,40.145,41.815,13.02,6.026666667,8.97,0.535,0.7725,17.57,2
Phocoena phocoena adult - L,NMNH 571892,Ph phL,yes,27.24,22.23,8.91,4.046666667,6.205,0.53,0.376666667,4.47,1.94
Phocoena phocoena adult - R,NMNH 571892,Ph phR,yes,27.21,23.83,8.825,4.29,5.95,0.55,0.383333333,4.82,1.89
Pontoporia blainvillei - R,NMNH 482752,Po bl,yes,31.715,29.85,9.755,4.15,6.9,0.625,0.483333333,9.58,2
Pterophocaena nishinoi_,NMV 7,Pt ni,U,28.345,NA,10.93,5.073333333,7.93,0.553333333,0.53,NA,1.71
Salumiphocaena stocktoni_,UCMP 34576,Sa st,U,29.51,25.23,10.08,4.1,7.42,0.586666667,0.643333333,2.7,1.82
?Carolinacetus,UM-KPG-M 164,Ca sp,U,28.07,10.4,10.47,6.5,5.8,0.9,NA,8.55,2.25
cf. Cynthiacetus,CCNHM 167,Cy sp,U,38.79,17.33,12.01,7.83,7.58,1.45,0.47,10.53,2.39
Protocetid indet. ÅE_,UM-KPG-M 73,Pr in,U,22.44,8.9,9.48,5.32,7,1.2,NA,4.8,2.1
Zygorhiza kochii,USNM PAL 214433,Zy ko,U,33.7,16.6,12.4,6.5,NA,1.2,0.6,NA,2.5
Zygorhiza kochii,USNM 4748,Zy ko2,U,36.05,15.58,11.25,6.96,7.07,1.09,0.65,12.15,2.11
Bos taurus,UPPal ART-8-055,Bo ta,no,31.3,4.6,8.94,3.9,5.83,0.65,0.2,7.34,3.55
Capra hircus,UM-543N,Ca hi,no,20.94,11.24,6.9,2.84,5.55,0.15,NA,NA,2.25
Cebochoeridae indet.,UM-SNB-2257,Ce in,U,13.85,8.44,5.39,2.62,3.9,0.02,0.1,1.7,2.2
Choeropsis liberiensis,UPPal-M09-5-005a,Ch li,no,40.5,6.9,12.49,6.3,8.05,0.5,0.49,14.6,3.25
Diacodexis ilicis,AMNH VP 16141,Di il,U,7.35,5.21,3.55,1.68,3.4,0.14,NA,1.9,2
Hippopotamus amphibius,UM-N179,Hi am,no,57.33,8.1,14.78,7.44,10.9,0.7,NA,31.23,3.5
Moschiola meminna,UM-58V,Mo me,no,17.11,7.64,5.95,2.83,5.2,0.4,0.27,2.17,2.8
Ovis aries,UM-785N,Ov ar,no,28.51,14.85,9.5,4,6.69,0.9,0.3,5.57,2.8
Poebrotherium,AMNH not numbered,Po sp,U,27.2,14.8,6.95,4.02,5.27,0.25,0.2,4.19,3.5
Rangifer tarandus,UPPal ART-12-020,Ra ta,no,25.5,8.9,9.6,4.3,6.7,NA,0.2,7.63,2.12
Sus scrofa,UM-784N,Su sc,no,33.86,2,7.45,4.02,5.97,0.06,0.2,4.83,3.7
Tayassu pecari,UM-N-03,Ta pe,no,29,7.28,6.53,3.58,5.15,0.21,0.18,4.57,3.75
"""Balaenoptera"" ryani",CAS 1733,Ba ry,U,53.6,22.5,15.6,11.4,NA,1.3,0.5,NA,2.7
"""Megaptera"" miocaena",USNM V10300,Me mi,U,57.9,18.2,14.7,9.6,NA,1.7,0.6,NA,2.7
Aglaocetus patulus,USNM V 23690,Ag pa,U,44.7,17.2,14.2,6.7,NA,1.2,0.4,NA,2.6
Balaena mysticetus,LACM 97312,Ba my,no,54.7,16.6,16.8,8.5,NA,1.1,0.8,NA,2
Balaenoptera acutorostrata,SDNHM 23642,Ba ac,no,52.9,31.6,15.1,9.9,NA,0.8,0.5,NA,2.5
Balaenoptera physalus,MNHN AZ.MC.1989.403,Ba ph,no,80.02,34.95,20.15,10.14,11.95,1.85,0.62,23.81,2.08
Balaenopteridae,SDSNH 83695,Bal1,U,51.1,30.1,17.1,8.1,NA,1.5,0.8,NA,2
Balaenopteridae,TMM 42958-35,Bal2,U,66.9,32.5,25,12.1,NA,1.6,0.7,NA,2.4
Cephalotropis coronatus,CMM-V-3636,Ce co,U,39.6,18.8,13.1,8.3,NA,1.3,0.6,NA,2.3
Cophocetus oregonensis,UO F36450,Co or,U,38,16.7,9.7,6.3,NA,0.4,0.7,NA,2.7
Eomysticetus whitmorei,ChM PV4253,Eo wh,U,36.2,22.5,12.1,6.8,NA,1.3,0.7,NA,2.5
Eschrichtiidae,SDSNH 65021,Esch,U,57.8,28.4,16.5,10.6,NA,1.1,0.7,NA,2.4
Eschrichtius robustus,SDNHM 24316,Es ro,no,60.9,36.1,19.1,9.5,NA,1.4,0.7,NA,2.1
